日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,富貴角,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2017-01-01,28.52,47.5,38.93,44.16,43.76,41.27,34.19,49.62,39.64,38.55,33.55,16.72,22.93,18.76,25.32,22.21,15.63,17.17,17.31,22.18,NaN,21.58,22.21,20.05,18.55,21.02,30.23,22.61,22.47,23.25,18.7,22.46,20.59,15.78,23.08,9.74,25.33,26.36,29.69,24.09,26.59,27.85,30.59,12.59,12.03,6.61,10.11,5.55,46.1,52.82,54.44,43.93,57.69,52.34,52.96,53.97,9.78,31.6,53.76,55.59,43.38,40.8,51.17,44.84,56.04,42.85,43.56,49.93,42.01,46.87,36.21,52.21,42.17,44.62
2017-01-08,21.41,33.06,36.62,25.62,26.15,24.17,19.96,42.01,28.97,24.38,18.11,19.36,19.78,20.51,24.32,19.96,19.83,18.72,20.67,20.77,NaN,18.25,22.8,16.98,20.89,19.68,24.01,20.39,23.47,25.06,18.68,19.69,19.73,23.63,23.74,7.79,22.35,20.54,21.4,18.88,19.04,21.09,25.57,17.48,17.65,11.1,14.34,9.59,44.81,46.81,47.98,42.91,53.3,52.43,48.1,48.66,10.86,31.6,49.36,54.95,46.98,39.99,47.5,39.0,41.56,35.68,34.4,35.1,31.53,37.5,28.63,39.2,33.53,34.6
2017-01-15,15.03,24.95,30.46,16.39,18.08,17.38,12.48,34.56,18.88,16.48,14.44,11.14,12.62,11.47,15.48,11.56,10.52,10.65,10.97,11.45,NaN,11.56,14.48,8.46,12.34,10.49,16.86,12.43,11.7,16.16,10.56,10.93,10.79,14.92,12.1,6.21,15.26,13.13,14.1,11.99,15.12,14.58,17.53,8.55,11.1,7.19,11.03,5.78,37.4,37.27,39.72,32.4,42.85,37.36,40.21,40.04,8.58,31.6,38.22,42.95,42.35,33.97,38.35,29.37,29.93,26.78,25.15,29.12,22.47,27.14,21.85,30.21,21.8,24.12
2017-01-22,19.77,26.43,33.36,24.86,27.33,22.59,20.38,40.05,24.76,20.79,18.99,12.84,16.13,14.78,17.94,13.06,15.21,12.84,13.39,23.02,NaN,15.96,17.05,10.9,14.63,14.12,17.69,14.5,13.97,17.95,12.73,13.93,14.0,17.11,17.3,9.74,19.15,17.48,19.1,17.59,17.83,19.81,22.23,10.48,13.97,10.67,13.33,9.67,37.18,37.29,41.61,34.18,43.21,41.0,41.42,41.04,11.83,31.6,38.58,43.1,44.97,37.28,39.14,31.3,34.75,28.22,30.89,35.22,29.52,31.72,23.87,32.98,23.61,27.73
2017-01-29,16.32,22.53,27.33,17.6,18.73,17.25,15.06,32.47,21.27,16.22,14.95,11.67,17.17,16.65,20.2,17.37,16.47,15.02,17.44,19.15,NaN,15.5,16.25,16.57,16.47,17.26,22.28,17.79,17.85,19.47,16.5,19.72,16.93,18.86,18.89,4.91,17.49,14.97,21.63,19.56,17.56,16.9,19.8,7.75,10.14,7.1,8.78,5.6,34.87,33.13,37.67,31.26,42.29,43.67,37.14,37.6,8.9,31.6,38.34,41.0,41.71,33.34,33.74,27.95,31.35,26.82,28.07,27.57,25.37,28.78,23.75,31.46,25.75,28.37
2017-02-05,25.68,36.54,39.37,31.09,32.49,28.24,26.06,48.53,31.8,28.85,25.55,24.41,25.01,24.53,27.35,23.84,23.47,22.66,22.24,24.95,NaN,24.28,28.14,19.36,24.34,23.45,27.17,23.9,27.4,26.04,21.9,23.35,25.57,27.39,26.82,18.19,27.05,23.75,28.05,28.78,25.07,25.37,28.32,20.56,21.37,17.79,18.76,14.57,49.21,48.89,50.08,39.98,51.41,48.79,51.29,47.82,15.84,31.6,55.17,51.84,50.89,40.24,46.45,40.9,44.3,38.03,40.69,45.35,38.27,40.44,31.35,44.38,36.1,38.2
2017-02-12,26.74,33.18,31.4,33.61,33.83,34.1,28.61,39.94,35.82,32.64,25.39,17.84,23.01,18.53,22.57,18.55,17.31,16.49,17.95,24.26,NaN,23.51,18.11,15.59,18.59,18.68,24.5,21.35,18.31,21.72,17.19,18.68,17.79,18.97,21.95,12.16,23.77,20.47,27.22,26.57,23.19,25.01,27.2,13.29,15.03,13.33,14.87,10.91,43.5,41.96,43.58,34.53,44.58,33.96,44.83,44.01,11.42,31.6,47.55,48.66,36.03,32.36,40.87,37.7,43.56,37.62,41.08,43.72,37.64,40.52,32.26,43.79,35.5,38.9
2017-02-19,22.16,33.2,37.22,26.51,25.81,24.14,22.5,43.31,31.02,25.63,19.86,16.94,19.12,17.11,20.43,17.3,15.15,15.4,16.59,20.52,NaN,18.04,15.36,14.53,14.95,17.46,23.37,17.3,16.57,19.29,15.78,18.37,16.28,18.67,20.05,7.41,18.36,16.46,20.15,21.42,19.29,20.37,21.41,11.13,12.97,9.84,11.62,7.17,40.12,35.34,35.53,33.29,38.94,38.14,38.05,37.47,10.71,31.6,42.03,42.52,36.74,32.58,36.16,38.2,39.8,34.38,35.02,38.36,33.73,38.93,30.75,35.28,32.07,34.35
2017-02-26,23.13,34.64,39.53,29.58,26.79,27.42,24.1,46.99,32.62,27.79,19.38,22.35,25.2,23.99,27.31,24.01,20.1,21.05,23.44,23.89,NaN,22.8,25.08,19.87,23.55,24.26,29.36,24.29,25.47,24.72,20.9,23.34,23.1,25.18,25.02,18.25,25.82,22.91,26.28,28.52,25.33,24.22,26.5,16.31,20.73,13.48,17.24,14.74,47.24,43.01,45.63,38.39,47.23,45.83,46.04,45.78,14.55,31.6,50.98,49.68,44.11,37.79,42.29,40.36,41.03,35.6,37.9,41.49,35.27,39.86,30.0,39.51,32.43,35.95
2017-03-05,29.79,41.89,45.91,32.17,34.02,30.61,29.86,45.41,37.11,30.31,18.37,22.21,24.35,22.46,26.7,23.4,20.26,20.04,23.3,24.52,NaN,22.91,23.66,19.47,22.9,23.88,29.66,23.49,23.82,25.71,21.23,24.75,21.86,26.37,24.67,15.39,23.59,22.92,24.72,27.06,24.72,26.14,26.26,14.33,19.17,9.37,13.83,10.82,45.11,42.12,46.32,38.29,46.34,43.13,42.89,43.41,11.76,31.6,45.0,50.35,40.85,35.24,41.19,37.92,41.58,36.54,41.94,36.06,37.85,39.48,33.18,38.66,41.52,42.39
2017-03-12,22.56,40.41,46.96,29.44,30.17,29.48,24.69,44.63,31.82,28.46,19.28,14.86,19.75,15.65,18.22,18.48,12.76,13.84,17.35,13.88,NaN,16.22,17.04,14.02,15.54,18.15,20.26,17.84,17.49,18.29,14.22,18.14,16.71,16.99,15.7,6.34,20.48,16.39,19.15,19.94,24.11,23.89,24.29,9.88,10.98,7.91,11.27,8.72,39.05,34.69,43.92,31.87,40.06,41.76,40.88,36.47,12.24,26.72,43.39,45.4,32.34,40.48,38.53,37.49,40.51,36.4,36.39,41.1,33.54,38.34,30.36,37.23,31.52,35.54
2017-03-19,20.76,35.55,38.89,25.82,27.94,23.58,22.79,42.57,27.26,22.66,21.52,12.59,15.07,13.76,15.91,16.78,11.89,12.72,14.2,13.72,NaN,12.58,14.08,11.02,15.93,14.36,17.71,15.72,16.38,17.95,14.2,15.81,13.02,16.21,14.66,5.99,16.83,18.3,13.7,18.19,19.56,17.51,18.22,10.74,12.21,7.48,11.19,8.1,35.69,32.18,39.15,27.78,33.74,33.49,35.19,32.18,12.79,26.77,40.31,39.6,27.69,32.58,31.99,36.69,39.09,34.55,33.24,39.45,32.59,35.69,26.62,35.7,25.99,32.95
