日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2015-01-01,19.2,27.91,20.08,36.75,26.43,46.33,23.29,19.79,23.08,34.61,17.33,124.89,58.3,57.83,34.37,40.78,26.03,32.95,90.4,29.86,26.36,26.67,46.88,46.84,43.9,21.36,31.76,42.95,41.19,22.44,47.95,42.69,8.96,21.71,4.42,23.61,11.94,28.83,23.02,20.64,27.92,23.37,15.13,10.66,8.83,11.69,6.82,35.36,27.28,38.01,29.63,41.03,23.24,28.47,42.57,2.26,24.24,30.11,24.3,17.14,14.28,33.16,19.15,26.4,23.99,19.09,23.09,19.91,24.31,18.01,27.7,15.52,16.5
2015-01-08,16.53,26.94,16.99,31.64,24.02,30.42,20.43,20.1,19.75,23.82,16.3,94.52,40.35,32.79,19.47,14.7,8.21,12.65,70.71,17.27,15.73,14.19,17.64,23.84,21.5,12.44,14.29,23.3,19.82,8.0,18.0,27.36,6.0,12.96,3.06,12.16,11.34,15.96,11.05,13.91,22.42,18.7,16.16,10.77,8.37,14.7,6.66,34.79,26.42,30.69,28.9,39.97,22.12,26.28,36.21,5.09,25.29,28.87,26.87,18.32,13.77,33.48,18.61,25.01,20.19,16.93,25.22,16.41,19.94,15.83,23.36,12.95,14.63
2015-01-15,15.57,27.1,16.64,29.52,21.45,23.35,15.56,21.1,17.25,15.9,13.57,110.41,43.38,36.3,23.05,18.24,12.25,15.3,69.97,21.45,19.5,17.06,22.63,27.04,24.1,13.53,18.64,29.93,24.92,9.83,22.2,30.12,9.52,14.04,3.5,17.26,10.21,18.49,13.52,14.47,21.77,19.42,14.29,9.95,8.28,13.63,6.31,35.24,28.52,31.81,31.68,43.87,24.67,27.28,36.45,4.15,30.05,28.46,26.47,20.14,15.31,37.43,20.58,27.55,19.9,17.21,24.07,16.19,21.51,15.03,22.71,10.28,14.79
2015-01-22,17.62,27.42,19.32,34.49,24.88,38.32,23.23,22.5,21.42,28.94,19.11,129.08,60.05,51.83,36.39,36.31,20.52,27.18,92.37,30.56,28.26,23.92,44.88,42.41,38.04,20.75,30.08,47.86,40.67,17.57,41.59,44.14,8.73,21.71,4.11,24.21,13.82,25.13,20.45,21.05,27.96,24.7,16.6,11.24,9.15,10.14,6.06,34.01,30.29,36.7,31.5,39.73,23.75,30.55,40.45,3.6,25.86,31.37,27.91,17.51,15.57,32.41,21.55,25.98,23.92,19.73,25.47,20.43,24.85,18.06,26.8,14.12,16.99
2015-01-29,12.33,23.31,17.31,23.42,17.16,21.0,13.69,19.08,12.32,15.01,14.17,96.43,38.3,32.27,24.2,18.64,12.54,14.54,74.63,15.0,16.57,18.38,20.9,25.83,25.43,11.3,15.0,27.95,22.35,8.73,20.42,29.3,5.89,8.63,2.66,16.87,11.54,16.39,10.97,15.14,18.77,16.51,11.74,9.15,7.08,11.54,6.41,28.81,23.84,29.45,26.56,38.24,18.73,22.38,32.63,2.97,29.6,22.74,22.14,18.51,13.73,29.86,16.68,20.84,14.97,13.52,19.11,12.24,16.02,12.07,17.18,7.43,11.64
2015-02-05,15.12,24.94,18.3,27.35,21.82,26.65,15.6,20.16,17.33,18.64,13.47,120.99,55.27,44.41,31.67,26.72,16.83,23.05,90.92,24.06,25.99,23.32,32.7,35.66,33.9,17.83,25.61,42.5,36.78,16.74,29.76,38.64,7.28,16.97,4.09,21.83,10.24,24.72,17.76,16.45,21.37,22.62,15.09,10.23,9.03,13.66,6.66,35.24,28.72,36.04,31.17,41.18,21.58,27.44,39.1,3.83,30.77,28.15,26.96,20.19,14.73,35.22,19.94,25.02,18.94,17.13,22.4,15.06,20.89,15.53,23.38,12.16,15.95
2015-02-12,16.93,27.01,19.92,36.85,28.53,43.15,24.8,19.16,21.74,34.04,18.63,108.59,57.57,43.35,27.97,27.18,15.65,18.13,77.75,26.12,26.05,19.9,30.42,35.35,31.5,18.04,23.97,38.03,32.64,15.02,29.34,36.36,7.62,18.97,3.89,25.68,13.65,27.57,22.95,18.3,32.3,24.24,15.33,10.37,10.1,16.38,7.2,33.11,28.91,33.82,28.32,38.04,21.37,29.06,37.82,3.7,20.69,30.18,26.88,16.07,13.21,32.51,20.75,26.26,25.52,18.59,27.0,17.1,24.84,16.56,27.48,13.51,15.25
2015-02-19,13.42,21.32,17.0,24.28,18.0,25.73,17.15,17.82,14.91,20.29,18.23,95.47,46.09,38.8,28.35,25.78,17.96,19.4,59.9,14.38,21.45,22.66,28.27,30.78,27.6,17.19,23.67,43.92,22.99,15.62,26.3,33.37,10.2,11.38,4.31,19.18,11.86,19.55,12.82,16.71,21.03,18.06,9.69,7.66,8.29,9.27,5.83,21.09,19.9,25.33,20.64,31.36,15.44,18.85,28.46,3.79,16.86,17.69,16.43,13.5,10.67,24.16,13.33,19.02,14.3,13.96,18.97,13.7,15.87,13.02,16.94,10.65,11.03
2015-02-26,15.17,22.34,14.83,26.25,19.53,23.9,15.91,19.86,16.01,19.75,19.15,101.75,48.37,39.43,26.34,24.9,15.78,27.04,74.21,22.44,23.98,20.49,31.51,29.51,30.12,14.71,22.33,37.76,23.06,16.82,28.83,35.48,8.57,12.06,3.67,18.6,12.58,20.88,14.88,15.82,20.74,18.47,10.98,8.22,7.69,12.16,6.4350000000000005,27.11,23.19,28.48,25.39,33.23,19.4,22.35,30.18,3.17,19.89,21.91,21.35,15.33,12.01,28.76,18.35,21.02,19.57,18.51,21.1,15.13,18.58,16.29,21.24,10.5,13.59
2015-03-05,17.68,28.63,18.15,30.34,22.15,25.86,17.29,25.09,18.11,21.13,18.77,86.93,43.04,33.88,24.33,17.96,9.65,16.53,80.54,14.88,21.15,19.67,22.47,26.75,24.42,15.27,18.04,28.83,18.05,10.76,21.25,29.58,6.32,10.24,1.87,18.96,11.96,20.39,12.21,14.57,20.86,19.21,10.97,9.27,7.49,15.93,7.04,34.2,28.54,35.73,32.09,43.34,21.94,26.56,38.08,3.34,29.8,27.0,26.56,19.26,15.16,36.59,20.42,28.76,20.34,17.92,24.07,16.63,21.7,16.22,23.13,10.54,13.77
