¤é´Á,¦a°Ï,²Î­p¸ê®Æ,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,Às¼æ,¥­§¡­È,18.285714285714285,NaN,0.5916071428571428,NaN,8.275,19.158928571428568,27.426785714285717,18.530357142857145,51.041666666666664,27.452380952380953,1.6538194444444447,88.81547619047619,2.718452380952381,NaN,112.8577380952381,119.52380952380952,2.329761904761905,1.9702380952380951
2016-01-08,Às¼æ,¥­§¡­È,15.071428571428571,NaN,0.5323809523809524,NaN,3.114935064935065,15.755140692640692,18.85189393939394,27.20370082815735,44.19805194805195,24.559523809523814,1.027922077922078,87.80952380952381,3.092365424430642,NaN,67.16071428571429,69.75416666666665,3.2244047619047618,2.9208333333333334
2016-01-15,Às¼æ,¥­§¡­È,14.69047619047619,NaN,0.5341071428571429,NaN,3.3815476190476192,16.277380952380952,19.641071428571426,25.554166666666667,45.541666666666664,23.988095238095237,0.9897026502908854,87.48214285714286,2.6095238095238096,NaN,87.41904761904762,92.04107142857143,3.2357142857142853,2.873214285714286
2016-01-22,Às¼æ,¥­§¡­È,11.244642857142859,NaN,0.4511147186147185,NaN,6.857359307359306,15.597943722943723,22.42224025974026,22.931030020703933,38.559006211180126,17.796583850931675,1.7256944444444446,80.92857142857143,2.705612244897959,NaN,98.34523809523809,108.88095238095237,2.9785714285714286,2.7220238095238094
2016-01-29,Às¼æ,¥­§¡­È,14.212474120082817,NaN,0.44740969271003594,NaN,3.5160206098249573,15.090447957839261,18.564156314699794,26.000305853566722,27.59368530020704,9.403726708074533,1.332391304347826,91.50698757763975,2.2662198975700116,NaN,66.28628364389235,63.89293478260869,3.8775103519668734,3.4374482401656317
2016-02-05,Às¼æ,¥­§¡­È,13.552380952380952,NaN,0.4913690476190476,NaN,2.899404761904762,16.0,18.90059523809524,36.489285714285714,64.91666666666667,40.642857142857146,NaN,64.97619047619048,2.9345238095238098,NaN,128.31428571428572,132.0922619047619,2.3339285714285714,1.9119047619047618
2016-02-12,Às¼æ,¥­§¡­È,15.116666666666665,NaN,0.4392391304347826,NaN,3.829994824016563,14.256686429512516,18.050675230566533,25.023654244306417,39.88941491928579,19.673536608319218,0.9397619047619047,82.04166666666667,2.2399327122153205,NaN,104.2154761904762,104.66666666666666,3.056547619047619,2.769047619047619
2016-02-19,Às¼æ,¥­§¡­È,13.25207039337474,NaN,0.4203300865800865,NaN,2.771814045984527,12.77789310232102,15.506621172496457,32.664695423623996,41.58562801932367,22.70486542443064,0.35075757575757577,85.55848861283644,1.7820021645021644,NaN,89.7610248447205,96.53603896103894,4.141450216450217,3.8482284020327495
2016-02-26,Às¼æ,¥­§¡­È,14.982142857142858,NaN,0.4475595238095238,NaN,3.2345238095238096,16.254761904761903,19.486309523809524,36.16785714285714,48.69298245614035,25.90062111801242,NaN,74.46428571428571,2.1220238095238093,NaN,113.40595238095237,116.51785714285712,3.0196428571428577,2.7767857142857144
2016-03-04,Às¼æ,¥­§¡­È,18.30535714285714,NaN,0.48720238095238094,NaN,6.094047619047619,19.94345238095238,26.03988095238095,22.927380952380954,56.339285714285715,31.43271221532091,NaN,80.89880952380952,2.6964285714285716,NaN,135.27380952380952,137.9595238095238,2.3684523809523808,1.9101190476190477
2016-03-11,Às¼æ,¥­§¡­È,13.428400688338579,NaN,0.5506908996800302,NaN,6.3959516415261755,20.060896184560782,26.42725746820467,25.860544889892715,42.989035087719294,20.913033395176253,1.9831632653061224,93.0212248931193,2.1794809900244685,NaN,97.09492888064317,96.92650103519668,2.849741200828157,2.508779341776236
