ID,town
301,臺中市豐原區
302,臺中市東勢區
303,臺中市大甲區
304,臺中市清水區
305,臺中市沙鹿區
306,臺中市梧棲區
307,臺中市后里區
308,臺中市神岡區
309,臺中市潭子區
310,臺中市大雅區
311,臺中市新社區
312,臺中市石岡區
313,臺中市外埔區
314,臺中市大安區
315,臺中市烏日區
316,臺中市大肚區
317,臺中市龍井區
318,臺中市霧峰區
319,臺中市太平區
320,臺中市大里區
323,臺中市東區
324,臺中市西區
327,臺中市西屯區
328,臺中市南屯區
329,臺中市北屯區
3501,苗栗縣苗栗市
3503,苗栗縣通霄鎮
3506,苗栗縣後龍鎮
3509,苗栗縣公館鄉
3512,苗栗縣頭屋鄉
3514,苗栗縣西湖鄉
3515,苗栗縣造橋鄉
3517,苗栗縣獅潭鄉
3701,彰化縣彰化市
3702,彰化縣鹿港鎮
3703,彰化縣和美鎮
3705,彰化縣員林市
3706,彰化縣溪湖鎮
3708,彰化縣二林鎮
3709,彰化縣線西鄉
3710,彰化縣伸港鄉
3711,彰化縣福興鄉
3712,彰化縣秀水鄉
3713,彰化縣花壇鄉
3714,彰化縣芬園鄉
3715,彰化縣大村鄉
3716,彰化縣埔鹽鄉
3717,彰化縣埔心鄉
3718,彰化縣永靖鄉
3722,彰化縣埤頭鄉
3723,彰化縣芳苑鄉
3802,南投縣埔里鎮
3803,南投縣草屯鎮
3810,南投縣國姓鄉
4332,屏東縣獅子鄉
