ID,town
301,臺中市豐原區
302,臺中市東勢區
303,臺中市大甲區
304,臺中市清水區
305,臺中市沙鹿區
306,臺中市梧棲區
307,臺中市后里區
308,臺中市神岡區
309,臺中市潭子區
310,臺中市大雅區
311,臺中市新社區
312,臺中市石岡區
313,臺中市外埔區
314,臺中市大安區
315,臺中市烏日區
316,臺中市大肚區
317,臺中市龍井區
318,臺中市霧峰區
319,臺中市太平區
320,臺中市大里區
323,臺中市東區
324,臺中市西區
327,臺中市西屯區
328,臺中市南屯區
329,臺中市北屯區
1201,新竹市東區
1202,新竹市北區
1203,新竹市香山區
3211,桃園市新屋區
3212,桃園市觀音區
3305,新竹縣竹北市
3308,新竹縣新豐鄉
3310,新竹縣寶山鄉
3501,苗栗縣苗栗市
3502,苗栗縣苑裡鎮
3503,苗栗縣通霄鎮
3504,苗栗縣竹南鎮
3505,苗栗縣頭份市
3506,苗栗縣後龍鎮
3507,苗栗縣卓蘭鎮
3508,苗栗縣大湖鄉
3509,苗栗縣公館鄉
3510,苗栗縣銅鑼鄉
3512,苗栗縣頭屋鄉
3513,苗栗縣三義鄉
3514,苗栗縣西湖鄉
3515,苗栗縣造橋鄉
3516,苗栗縣三灣鄉
3517,苗栗縣獅潭鄉
3701,彰化縣彰化市
3702,彰化縣鹿港鎮
3703,彰化縣和美鎮
3705,彰化縣員林市
3706,彰化縣溪湖鎮
3708,彰化縣二林鎮
3709,彰化縣線西鄉
3710,彰化縣伸港鄉
3711,彰化縣福興鄉
3712,彰化縣秀水鄉
3713,彰化縣花壇鄉
3714,彰化縣芬園鄉
3715,彰化縣大村鄉
3716,彰化縣埔鹽鄉
3717,彰化縣埔心鄉
3718,彰化縣永靖鄉
3719,彰化縣社頭鄉
3721,彰化縣田尾鄉
3722,彰化縣埤頭鄉
3723,彰化縣芳苑鄉
3802,南投縣埔里鎮
3803,南投縣草屯鎮
3808,南投縣中寮鄉
3809,南投縣魚池鄉
3810,南投縣國姓鄉
3916,雲林縣臺西鄉
3918,雲林縣四湖鄉
