ID,town
501,臺南市新營區
502,臺南市鹽水區
503,臺南市白河區
504,臺南市麻豆區
505,臺南市佳里區
506,臺南市新化區
507,臺南市善化區
508,臺南市學甲區
509,臺南市柳營區
510,臺南市後壁區
511,臺南市東山區
512,臺南市下營區
513,臺南市六甲區
514,臺南市官田區
515,臺南市大內區
516,臺南市西港區
517,臺南市七股區
518,臺南市將軍區
519,臺南市北門區
520,臺南市新市區
521,臺南市安定區
522,臺南市山上區
523,臺南市玉井區
524,臺南市楠西區
527,臺南市仁德區
531,臺南市永康區
532,臺南市東區
533,臺南市南區
534,臺南市中西區
535,臺南市北區
537,臺南市安南區
2201,嘉義市東區
2202,嘉義市西區
3707,彰化縣田中鎮
3709,彰化縣線西鄉
3719,彰化縣社頭鄉
3720,彰化縣二水鄉
3724,彰化縣大城鄉
3726,彰化縣溪州鄉
3801,南投縣南投市
3804,南投縣竹山鎮
3805,南投縣集集鎮
3806,南投縣名間鄉
3807,南投縣鹿谷鄉
3808,南投縣中寮鄉
3901,雲林縣斗六市
3902,雲林縣斗南鎮
3903,雲林縣虎尾鎮
3904,雲林縣西螺鎮
3905,雲林縣土庫鎮
3906,雲林縣北港鎮
3907,雲林縣古坑鄉
3908,雲林縣大埤鄉
3909,雲林縣莿桐鄉
3910,雲林縣林內鄉
3911,雲林縣二崙鄉
3912,雲林縣崙背鄉
3913,雲林縣麥寮鄉
3914,雲林縣東勢鄉
3915,雲林縣褒忠鄉
3916,雲林縣臺西鄉
3917,雲林縣元長鄉
3918,雲林縣四湖鄉
3919,雲林縣口湖鄉
3920,雲林縣水林鄉
4001,嘉義縣朴子市
4002,嘉義縣布袋鎮
4003,嘉義縣大林鎮
4004,嘉義縣民雄鄉
4005,嘉義縣溪口鄉
4006,嘉義縣新港鄉
4007,嘉義縣六腳鄉
4008,嘉義縣東石鄉
4009,嘉義縣義竹鄉
4010,嘉義縣鹿草鄉
4011,嘉義縣太保市
4012,嘉義縣水上鄉
4013,嘉義縣中埔鄉
4014,嘉義縣竹崎鄉
4015,嘉義縣梅山鄉
4016,嘉義縣番路鄉
4017,嘉義縣大埔鄉
